 5.01187234e+02  4.74683796e+02 -4.04926463e-01 
 5.62341325e+02  4.74683706e+02 -4.54334878e-01 
 6.30957344e+02  4.74683594e+02 -5.09771997e-01 
 7.07945784e+02  4.74683452e+02 -5.71973418e-01 
 7.94328235e+02  4.74683274e+02 -6.41764489e-01 
 8.91250938e+02  4.74683049e+02 -7.20071260e-01 
 1.00000000e+03  4.74682767e+02 -8.07932761e-01 
 1.12201845e+03  4.74682411e+02 -9.06514789e-01 
 1.25892541e+03  4.74681963e+02 -1.01712536e+00 
 1.41253754e+03  4.74681399e+02 -1.14123207e+00 
 1.58489319e+03  4.74680689e+02 -1.28048153e+00 
 1.77827941e+03  4.74679796e+02 -1.43672121e+00 
 1.99526231e+03  4.74678671e+02 -1.61202389e+00 
 2.23872114e+03  4.74677254e+02 -1.80871516e+00 
 2.51188643e+03  4.74675471e+02 -2.02940417e+00 
 2.81838293e+03  4.74673227e+02 -2.27701818e+00 
 3.16227766e+03  4.74670401e+02 -2.55484122e+00 
 3.54813389e+03  4.74666843e+02 -2.86655752e+00 
 3.98107171e+03  4.74662364e+02 -3.21630012e+00 
 4.46683592e+03  4.74656726e+02 -3.60870526e+00 
 5.01187234e+03  4.74649628e+02 -4.04897339e+00 
 5.62341325e+03  4.74640693e+02 -4.54293741e+00 
 6.30957344e+03  4.74629445e+02 -5.09713891e+00 
 7.07945784e+03  4.74615284e+02 -5.71891343e+00 
 7.94328235e+03  4.74597459e+02 -6.41648560e+00 
 8.91250938e+03  4.74575020e+02 -7.19907513e+00 
 1.00000000e+04  4.74546774e+02 -8.07701476e+00 
 1.12201845e+04  4.74511219e+02 -9.06188115e+00 
 1.25892541e+04  4.74466466e+02 -1.01666397e+01 
 1.41253754e+04  4.74410137e+02 -1.14058041e+01 
 1.58489319e+04  4.74339241e+02 -1.27956118e+01 
 1.77827941e+04  4.74250020e+02 -1.43542142e+01 
 1.99526231e+04  4.74137744e+02 -1.61018833e+01 
 2.23872114e+04  4.73996473e+02 -1.80612314e+01 
 2.51188643e+04  4.73818742e+02 -2.02574423e+01 
 2.81838293e+04  4.73595182e+02 -2.27185083e+01 
 3.16227766e+04  4.73314036e+02 -2.54754651e+01 
 3.54813389e+04  4.72960569e+02 -2.85626125e+01 
 3.98107171e+04  4.72516329e+02 -3.20177003e+01 
 4.46683592e+04  4.71958248e+02 -3.58820543e+01 
 5.01187234e+04  4.71257536e+02 -4.02006001e+01 
 5.62341325e+04  4.70378342e+02 -4.50217307e+01 
